,top_m,combine_ent_sim,q_combine_sim,aft_combine_sim,i,mean_correctness,mean_context,reward_func
0,5,0.8,0.8,0.8,0,0.63301922082901,0.233701525721699,reward_sbert_inclusive
1,5,0.85,0.85,0.85,1,0.5819827035069466,0.2330671020783484,reward_sbert_inclusive
2,5,0.9,0.9,0.9,2,0.5645969614386559,0.2330671020783484,reward_sbert_inclusive
3,5,0.95,0.95,0.95,3,0.5893056988716125,0.18800277793779968,reward_sbert_inclusive
4,5,1.0,1.0,1.0,4,0.5821128010749816,0.18800277793779968,reward_sbert_inclusive
5,10,0.8,0.8,0.8,5,0.6001449592411519,0.24449552819132805,reward_sbert_inclusive
6,10,0.85,0.85,0.85,6,0.6160116016864776,0.22894222810864448,reward_sbert_inclusive
7,10,0.9,0.9,0.9,7,0.6618862569332122,0.17123219557106495,reward_sbert_inclusive
8,10,0.95,0.95,0.95,8,0.6550414741039277,0.17123219557106495,reward_sbert_inclusive
9,10,1.0,1.0,1.0,9,0.5243641126900911,0.17123219557106495,reward_sbert_inclusive
10,20,0.8,0.8,0.8,10,0.6379044592380524,0.2673057585954666,reward_sbert_inclusive
11,20,0.85,0.85,0.85,11,0.6155309714376926,0.18526270072907208,reward_sbert_inclusive
12,20,0.9,0.9,0.9,12,0.6155309714376926,0.18526270072907208,reward_sbert_inclusive
13,20,0.95,0.95,0.95,13,0.5991716988384723,0.18526270072907208,reward_sbert_inclusive
14,20,1.0,1.0,1.0,14,0.5042268015444279,0.18526270072907208,reward_sbert_inclusive
15,50,0.8,0.8,0.8,15,0.5180417593568564,0.2602197378873825,reward_sbert_inclusive
16,50,0.85,0.85,0.85,16,0.604170099645853,0.22937143128365278,reward_sbert_inclusive
17,50,0.9,0.9,0.9,17,0.6028693713247776,0.19920494239777325,reward_sbert_inclusive
18,50,0.95,0.95,0.95,18,0.5973051108419896,0.19920494239777325,reward_sbert_inclusive
19,50,1.0,1.0,1.0,19,0.5970953740179539,0.19920494239777325,reward_sbert_inclusive
