,med_id,question,input_tokens,output_tokens,total_tokens,latency_sec,gen_latency_sec,retrieval_latency_sec,peak_vram_MiB,prompt_chars,throughput_tok_per_s,prompt_tok_per_s,device,dtype,model_name,temperature,top_p,max_new_tokens,timestamp_start,timestamp_end,attempt,question_chars,answer_raw_chars,answer_raw_tokens,prompt_to_output_char_ratio,retrieved_count,fact_context,total_latency_sec,Unnamed: 0,correctness,context,answers_choice,thinkings_choices,facts_choices
0,1,What is the role of biopsy in BCC diagnosis?,630.0,605.0,1235.0,23.10566060245037,23.10253109037876,0.17651578783988953,9175.72802734375,2040.0,26.18760678789681,201309.3369139788,cuda:0,torch.bfloat16,Qwen/Qwen2.5-3B,0.2,0.9,1500,66504765.45466053,66504788.56032113,1,44.0,62.0,13.0,32.903225806451616,1,"genetic testing studies genetic abnormality, genetic abnormality studied by genetic testing, General health test subclass of test, PSA density facet of prostate cancer, Thyroid nodule part of thyroid gland, immunotherapy subclass of Systemic therapy, bleeding from the anus subclass of Anal cancer, sexually transmitted infection has cause HPV, HPV has effect sexually transmitted infection, Basal cell skin cancer subclass of skin cancer, High-dose chemotherapy subclass of chemotherapy",23.28217639029026,1,0.9001656770706177,0.8042364120483398,unique,not_include,unique
1,2,Which systemic therapy may be considered for BCC?,656.0,17.0,673.0,0.6645285934209824,0.6614760011434555,0.40011750161647797,9179.029296875,2084.0,25.700100941852885,214899.3184676065,cuda:0,torch.bfloat16,Qwen/Qwen2.5-3B,0.2,0.9,1500,66504789.48602328,66504790.15055187,1,49.0,88.0,18.0,23.681818181818183,4,"immunotherapy subclass of Systemic therapy, High-dose chemotherapy subclass of chemotherapy, digestive system has part liver, genetic testing studies genetic abnormality, genetic abnormality studied by genetic testing, Squamous cell carcinoma subclass of mouth cancer, mouth cancer subclass of head and neck cancers, Basal cell skin cancer subclass of skin cancer, fallopian tube part of female reproductive system, female reproductive system has part fallopian tube, bleeding from the anus subclass of Anal cancer",1.0646460950374603,2,0.9407100677490234,0.8245246410369873,unique,not_include,unique
2,4,What is the recommended frequency for full skin exams in BCC follow-up?,642.0,22.0,664.0,0.8540853038430214,0.8519417271018028,0.16654961556196213,9177.8125,2067.0,25.82336244386244,299499.4243290025,cuda:0,torch.bfloat16,Qwen/Qwen2.5-3B,0.2,0.9,1500,66504814.9379134,66504815.79199871,1,71.0,125.0,23.0,16.536,6,"General health test subclass of test, Basal cell skin cancer subclass of skin cancer, sentinel lymph node subclass of lymph node(s), genetic testing studies genetic abnormality, genetic abnormality studied by genetic testing, immunotherapy subclass of Systemic therapy, High-dose chemotherapy subclass of chemotherapy, bleeding from the anus subclass of Anal cancer, Squamous cell carcinoma subclass of mouth cancer, mouth cancer subclass of head and neck cancers",1.0206349194049835,4,0.8025478720664978,0.7723956108093262,unique,not_include,unique
3,6,What is a brown or glossy black bump with rolled border a symptom of?,714.0,743.0,1457.0,28.568867802619934,28.56646503508091,0.34409305453300476,9184.07275390625,2222.0,26.009518471661174,297157.3356155463,cuda:0,torch.bfloat16,Qwen/Qwen2.5-3B,0.2,0.9,1500,66504840.748901576,66504869.31776938,1,69.0,336.0,66.0,6.613095238095238,18,"bleeding from the anus subclass of Anal cancer, blood has part white blood cell, sexually transmitted infection has cause HPV, HPV has effect sexually transmitted infection, PSA density facet of prostate cancer, Basal cell skin cancer subclass of skin cancer, Thyroid nodule part of thyroid gland, female reproductive system has part fallopian tube, female reproductive system has part vagina, female reproductive system has part ovaries, female reproductive system has part cervix",28.91296085715294,6,0.9063974022865297,0.7903467416763306,unique,not_include,unique
4,9,What is the role of imaging in BCC diagnosis?,687.0,683.0,1370.0,25.963242024183273,25.961187794804573,0.1691831573843956,9181.72412109375,2166.0,26.308503501395414,334431.98073365877,cuda:0,torch.bfloat16,Qwen/Qwen2.5-3B,0.2,0.9,1500,66504918.838789746,66504944.80203177,1,45.0,172.0,34.0,12.593023255813954,13,"Panoramic dental x-ray uses radiation, genetic testing studies genetic abnormality, genetic abnormality studied by genetic testing, General health test subclass of test, PSA density facet of prostate cancer, High-dose chemotherapy subclass of chemotherapy, sexually transmitted infection has cause HPV, HPV has effect sexually transmitted infection, bleeding from the anus subclass of Anal cancer, immunotherapy subclass of Systemic therapy, mouth cancer subclass of head and neck cancers",26.13242518156767,9,0.9226880073547364,0.7953072786331177,unique,not_include,unique
5,10,Can BCC occur anywhere on the body?,707.0,700.0,1407.0,26.817129001021385,26.81495851278305,0.1681530624628067,9183.46484375,2200.0,26.104832482448206,325733.1634021928,cuda:0,torch.bfloat16,Qwen/Qwen2.5-3B,0.2,0.9,1500,66504945.36483059,66504972.18195959,1,35.0,124.0,30.0,17.741935483870968,14,"General health test subclass of test, sentinel lymph node subclass of lymph node(s), High-dose chemotherapy subclass of chemotherapy, Basal cell skin cancer subclass of skin cancer, vagina part of female reproductive system, female reproductive system has part vagina, genetic testing studies genetic abnormality, genetic abnormality studied by genetic testing, sexually transmitted infection has cause HPV, HPV has effect sexually transmitted infection, bleeding from the anus subclass of Anal cancer, Squamous cell carcinoma subclass of mouth cancer, mouth cancer subclass of head and neck cancers",26.985282063484192,10,0.930528998374939,0.7878690958023071,unique,not_include,unique
6,11,From which cells does basal cell carcinoma arise?,719.0,60.0,779.0,2.324892818927765,2.322499915957451,0.1785799264907837,9184.5078125,2255.0,25.834231290064437,300471.8573714855,cuda:0,torch.bfloat16,Qwen/Qwen2.5-3B,0.2,0.9,1500,66504972.81606024,66504975.14095306,1,49.0,317.0,61.0,7.113564668769716,11,"Basal cell skin cancer subclass of skin cancer, Squamous cell carcinoma subclass of mouth cancer, mouth cancer subclass of head and neck cancers, sentinel lymph node subclass of lymph node(s), High-dose chemotherapy subclass of chemotherapy, Thyroid nodule part of thyroid gland, bleeding from the anus subclass of Anal cancer, immunotherapy subclass of Systemic therapy, PSA density facet of prostate cancer, genetic testing studies genetic abnormality, genetic abnormality studied by genetic testing",2.5034727454185486,11,0.8788006901741028,0.8149071931838989,unique,not_include,unique
7,12,Which anatomical locations are most commonly affected by BCC?,537.0,556.0,1093.0,21.412304796278477,21.410555936396122,0.1777351200580597,9169.455078125,1834.0,25.968498980208512,307057.1893255172,cuda:0,torch.bfloat16,Qwen/Qwen2.5-3B,0.2,0.9,1500,66504975.6616793,66504997.073984094,1,61.0,238.0,56.0,7.705882352941177,13,"PSA density facet of prostate cancer, female reproductive system has part fallopian tube, female reproductive system has part ovaries",21.590039916336536,12,0.8994442224502563,0.7787637710571289,unique,not_include,unique
8,13,What is the primary risk factor for developing basal cell carcinoma?,714.0,705.0,1419.0,27.17972745746374,27.177598230540752,0.17738085240125656,9184.07275390625,2216.0,25.940482084533805,335332.9756875919,cuda:0,torch.bfloat16,Qwen/Qwen2.5-3B,0.2,0.9,1500,66504997.916828535,66505025.09655599,1,68.0,150.0,28.0,14.773333333333333,14,"Basal cell skin cancer subclass of skin cancer, basal cell carcinoma subclass of mouth cancer, mouth cancer subclass of head and neck cancers, PSA density facet of prostate cancer, genetic abnormality studied by genetic testing, genetic testing studies genetic abnormality, sexually transmitted infection has cause HPV, HPV has effect sexually transmitted infection, Thyroid nodule part of thyroid gland, sentinel lymph node subclass of lymph node(s), cervix part of female reproductive system, female reproductive system has part ovaries, ovaries part of female reproductive system, female reproductive system has part cervix",27.357108309864998,13,0.8794005513191223,0.8105382919311523,unique,not_include,unique
9,14,How does fair skin affect the risk of basal cell carcinoma?,647.0,642.0,1289.0,24.41705895960331,24.414977617561817,0.17632266879081726,9178.24755859375,2080.0,26.295334366319718,310857.1234817596,cuda:0,torch.bfloat16,Qwen/Qwen2.5-3B,0.2,0.9,1500,66505025.84499153,66505050.26205049,1,59.0,166.0,32.0,12.53012048192771,13,"Basal cell skin cancer subclass of skin cancer, basal cell carcinoma subclass of mouth cancer, mouth cancer subclass of head and neck cancers, sexually transmitted infection has cause HPV, HPV has effect sexually transmitted infection, bleeding from the anus subclass of Anal cancer, PSA density facet of prostate cancer, Thyroid nodule part of thyroid gland, digestive system has part liver",24.593381628394127,14,0.8947021961212158,0.8123395442962646,unique,not_include,unique
